# Corrections relues, une par réplique : id<TAB>avant<TAB>après.
# Appliquées par fix_terms.py après terminology_fixes.tsv ; « avant » est
# donc le texte une fois les règles globales passées. Une ligne qui ne
# correspond plus à « avant » fait échouer l'application.
#
# 2026-09-24 — Shining Finger reste un nom propre, sans traduction ni
# rubis (même principe que Steins Gate). Il remplace les 15 variantes
# (masseuse, acupressiste, shiatsuka, maître du shiatsu…), dont 5 rubis
# qui affichaient l'article en double et 6 lignes au masculin.
# Même passe : Stardust Handshake, Ragnarök et Opération Urd harmonisés.
resg01_09.ks:*start:105	Son pouvoir s’appelle sans doute la « [Shining Finger,21]la Masseuse fulgurante ».	Son pouvoir s’appelle sans doute « Shining Finger ».
resg01_09.ks:*start:145	« La Masseuse Fulgurante » s’est apparemment contentée de l’échange d’adresses : elle a filé sans un mot.	« Shining Finger » s’est apparemment contentée de l’échange d’adresses : elle a filé sans un mot.
resg01_10.ks:*dummy4:47	À force de me battre avec un maître du shiatsu et une fille-chat, j’ai failli oublier mon objectif initial.	À force de me battre avec Shining Finger et une fille-chat, j’ai failli oublier mon objectif initial.
resg01_10.ks:*dummy5:1	Le mail de l’acupresseuse commence par des excuses et une justification à propos de la photo de tout à l’heure.	Le mail de Shining Finger commence par des excuses et une justification à propos de la photo de tout à l’heure.
resg01_10.ks:*dummy5:7	C’est vraiment la même personne que cette [Shining Finger,25]l’Acupresseuse de l’Éclair ?	C’est vraiment la même personne que Shining Finger ?
resg02_01.ks:*dummy1:2	Tous de la « [Shining Finger,21]la Masseuse Fulgurante »%p-1;─%p;─la fille qui s’est présentée comme Kiryuu Moeka.	Tous de « Shining Finger »%p-1;─%p;─la fille qui s’est présentée comme Kiryuu Moeka.
resg02_01.ks:*dummy1:4	Vu sa dextérité au clavier, j’aurais dû me douter que la Masseuse était une accro du mail. J’ai été imprudent.	Vu sa dextérité au clavier, j’aurais dû me douter que Shining Finger était une accro du mail. J’ai été imprudent.
resg02_02.ks:*dummy3:1	Ces derniers temps, la sonnerie de mes messages me flanque la nausée.\nÇa doit encore être cette accro aux mails, la maîtresse du shiatsu.	Ces derniers temps, la sonnerie de mes messages me flanque la nausée.\nÇa doit encore être cette accro aux mails, Shining Finger.
resg02_02.ks:*dummy4:52	Ça m’étonnerait. Cette masseuse n’avait pas l’air de savoir quelles fonctions l’IBN 5100 embarquait.	Ça m’étonnerait. Shining Finger n’avait pas l’air de savoir quelles fonctions l’IBN 5100 embarquait.
resg02_02.ks:*dummy4:7	J’ouvre le message de la maîtresse du shiatsu.\nVoici ce qui était écrit.	J’ouvre le message de Shining Finger.\nVoici ce qui était écrit.
resg02_06.ks:*010:19	Je l’ai baptisée de mon propre chef « [Stardust Handshake,42]la poignée de main aux poussières d’étoiles ».	Je l’ai baptisée de mon propre chef « [Stardust Handshake,39]poignée de main aux poussières d’étoiles ».
resg02_06.ks:*dummy5:16	[Ragnarök,22]La guerre sainte finale, c’est moi qui la déclencherai. Pour refaçonner ce monde !	La [Ragnarök,19]guerre sainte finale, c’est moi qui la déclencherai. Pour refaçonner ce monde !
resg02_07.ks:*010:0	Le message de la masseuse commence par des excuses, puis :\n« Je jure de ne plus envoyer de messages courts, alors ne m’abandonne pas. J’aimerais qu’on cherche l’IBN 5100 ensemble. »	Le message de Shining Finger commence par des excuses, puis :\n« Je jure de ne plus envoyer de messages courts, alors ne m’abandonne pas. J’aimerais qu’on cherche l’IBN 5100 ensemble. »
resg02_07.ks:*dummy6:0	Le message de la spécialiste du shiatsu disait : « Donne-moi les coordonnées du super hackeur~♪ »	Le message de Shining Finger disait : « Donne-moi les coordonnées du super hackeur~♪ »
resg02_07.ks:*dummy7:1	Maudite masseuse. Je lui avais dit d’arrêter d’envoyer des messages en rafale, elle n’a toujours pas compris ?	Maudite Shining Finger. Je lui avais dit d’arrêter d’envoyer des messages en rafale, elle n’a toujours pas compris ?
resg02_07.ks:*dummy9:6	Bon, répondons à la masseuse.	Bon, répondons à Shining Finger.
resg02_07.ks:*start:2	Maintenant que j’y pense, [Shining Finger,22]la masseuse de l’éclair était mordue de l’IBN 5100.	Maintenant que j’y pense, Shining Finger était mordue de l’IBN 5100.
resg02_09.ks:*dummy8:71	J’affiche sur mon portable la photo de l’IBN 5100 envoyée par le shiatsuki et la brandis sous le nez de Faris.	J’affiche sur mon portable la photo de l’IBN 5100 envoyée par Shining Finger et la brandis sous le nez de Faris.
resg02_10.ks:*dummy2:0	Le mail de la masseuse disait : « Quelle coïncidence de se croiser ici ♪ La recherche de l’IBN 5100 avance bien ? »	Le mail de Shining Finger disait : « Quelle coïncidence de se croiser ici ♪ La recherche de l’IBN 5100 avance bien ? »
resg02_10.ks:*dummy2:5	Même à une question directe, la masseuse ne répond rien, et%p-1;─%p;─	Même à une question directe, Shining Finger ne répond rien, et%p-1;─%p;─
resg02_10.ks:*dummy4:0	Le mail de la masseuse disait ceci.	Le mail de Shining Finger disait ceci.
resg02_10.ks:*dummy4:10	Autrement dit, la maîtresse du shiatsu a peur.	Autrement dit, Shining Finger a peur.
resg02_10.ks:*dummy5:0	Le message de la masseuse disait ceci.	Le message de Shining Finger disait ceci.
resg02_10.ks:*dummy6:0	Le message de la masseuse shiatsu disait : « Je n’ai plus aucune piste… Je ne sais plus quoi faire… »	Le message de Shining Finger disait : « Je n’ai plus aucune piste… Je ne sais plus quoi faire… »
resg02_10.ks:*target:16	Cela dit, moi non plus je n’ai pas retenu le nom de la masseuse, alors je ne peux rien dire.	Cela dit, moi non plus je n’ai pas retenu le nom de Shining Finger, alors je ne peux rien dire.
resg02_10.ks:*target:18	Au mot « IBN 5100 », la masseuse a tressailli.	Au mot « IBN 5100 », Shining Finger a tressailli.
resg02_10.ks:*target:6	[Shining Finger,23]Acupressrice de l’Éclair !	Shining Finger !
resg02_10.ks:*target:8	Acupressrice !	Shining Finger !
resg02_10.ks:*target:9	Même en allant lui parler sous le nez, l’acupressrice ne lève pas la tête.	Même en allant lui parler sous le nez, Shining Finger ne lève pas la tête.
resg02_11.ks:*start:0	Après avoir quitté le maître shiatsu, je vais cuisiner un vendeur que je connais dans une boutique d’informatique.	Après avoir quitté Shining Finger, je vais cuisiner un vendeur que je connais dans une boutique d’informatique.
